iata,icao,name,city,country,tz,lat,lon
OCA,07FA,Ocean Reef Club Airport,Key Largo,US,America/New_York,25.325399,-80.274803
WKK,5A8,Aleknagik / New Airport,Aleknagik,US,America/Anchorage,59.2826004028,-158.617996216
BBQ,AG-0001,Burton-Nibbs International Airport,Codrington,AG,,17.621194,-61.798347
HIR,AGGH,Honiara International Airport,Honiara,SB,Pacific/Guadalcanal,-9.428,160.054993
MUA,AGGM,Munda Airport,Munda,SB,Pacific/Guadalcanal,-8.32797,157.263
INU,ANYN,Nauru International Airport,Yaren,NR,Pacific/Nauru,-0.547893,166.919525
WFR,AT98,(Duplicate)Wolf's Fang Runway,Queen Maud Island,AQ,,-71.5264,8.799459
AXF,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,Asia/Shanghai,38.748317,105.58416
VMU,AYBA,Baimuru Airport,Baimuru,PG,Pacific/Port_Moresby,-7.496955,144.821756
BUA,AYBK,Buka Airport,Buka Island,PG,Pacific/Port_Moresby,-5.422299,154.672698
OPU,AYBM,Balimo Airport,Balimo,PG,Pacific/Port_Moresby,-8.05000019073,142.932998657
CMU,AYCH,Chimbu Airport,Kundiawa,PG,Pacific/Port_Moresby,-6.024290084838867,144.9709930419922
DAU,AYDU,Daru Airport,Daru,PG,Pacific/Port_Moresby,-9.08676,143.207993
GKA,AYGA,Goroka Airport,Goronka,PG,Pacific/Port_Moresby,-6.081689834590001,145.391998291
GUR,AYGN,Gurney Airport,Gurney,PG,Pacific/Port_Moresby,-10.3114995956,150.333999634
PNP,AYGR,Girua Airport,Popondetta,PG,Pacific/Port_Moresby,-8.80453968048,148.309005737
HKN,AYHK,Hoskins Airport,Kimbe,PG,Pacific/Port_Moresby,-5.463846,150.407327
KMA,AYKM,Kerema Airport,Kerema,PG,Pacific/Port_Moresby,-7.96361017227,145.770996094
KVG,AYKV,Kavieng Airport,Kavieng,PG,Pacific/Port_Moresby,-2.57940006256,150.807998657
MAG,AYMD,Madang Airport,Madang,PG,Pacific/Port_Moresby,-5.20707988739,145.789001465
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Pacific/Port_Moresby,-5.828212,144.299412
MDU,AYMN,Mendi Airport,Mendi,PG,Pacific/Port_Moresby,-6.14774,143.656998
MAS,AYMO,Momote Airport,Manus Island,PG,Pacific/Port_Moresby,-2.06189,147.423996
LAE,AYNZ,Nadzab Tomodachi International Airport,Lae,PG,Pacific/Port_Moresby,-6.567995,146.726544
POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,PG,Pacific/Port_Moresby,-9.443380355834961,147.22000122070312
RAB,AYTK,Tokua Airport,Kokopo,PG,Pacific/Port_Moresby,-4.34046,152.380005
VAI,AYVN,Vanimo Airport,Vanimo,PG,Pacific/Port_Moresby,-2.6926,141.3028
WBM,AYWD,Wapenamanda Airport,Wapenamanda,PG,Pacific/Port_Moresby,-5.635293,143.892231
WWK,AYWK,Wewak International Airport,Wewak,PG,Pacific/Port_Moresby,-3.58383011818,143.669006348
ZXT,AZ-0001,Zabrat Airport,Zabrat,AZ,Asia/Baku,40.494884,49.977065
BCW,BCW,Benguera Island Airport,Benguera Island,MZ,,-21.8533,35.438301
JAM,BG-JAM,Bezmer Air Base,Bezmer,BG,Europe/Sofia,42.454899,26.3522
JEG,BGAA,Aasiaat Airport,Aasiaat,GL,America/Nuuk,68.721802,-52.784698
CNP,BGCO,Neerlerit Inaat Airport,Neerlerit Inaat,GL,America/Scoresbysund,70.743103,-22.650499
GOH,BGGH,Nuuk International Airport,Nuuk,GL,America/Nuuk,64.191066,-51.67914
JAV,BGJN,Ilulissat Airport,Ilulissat,GL,America/Nuuk,69.243202,-51.057098
KUS,BGKK,Kulusuk Airport,Kulusuk,GL,America/Nuuk,65.573601,-37.1236
NAQ,BGQQ,Qaanaaq Airport,Qaanaaq,GL,America/Thule,77.488602,-69.388702
